대학,학문의 토대,지성의 열쇠,베리타스,지성의 확장,전체 교양 교과목,최소 학점
학부대학 (자유전공학부),16,9,3,0,8,36
학부대학 (광역),13,9,3,0,11,36
인문대학,19,9,3,2,3,36
사회과학대학,13,9,3,0,11,36
자연과학대학 (공통),34,9,3,0,0,46
간호대학,18,12,3,0,3,36
경영대학,20,9,3,1,3,36
공과대학 (광역),19,0,0,0,0,19
공과대학 (건설환경공학부),37,9,3,1,0,50
공과대학 (건축학과),28,9,3,0,0,40
공과대학 (기계공학부),37,9,3,0,0,49
공과대학 (산업공학과),40,9,3,0,0,52
공과대학 (에너지자원공학과),37,9,3,0,0,49
공과대학 (원자핵공학과),41,9,3,0,0,53
공과대학 (재료공학부),37,9,3,0,0,49
공과대학(전기·정보공학부),41,9,3,0,0,53
공과대학(조선해양공학과),37,9,3,0,0,49
공과대학(컴퓨터공학부),37,9,3,0,0,49
공과대학(항공우주공학과),37,9,3,0,0,49
공과대학(화학생물공학부),41,9,3,0,0,53
농업생명과학대학 인문계(농경제사회학부),13,9,3,0,11,36
농업생명과학대학 자연계(스마트시스템과학과),30,9,3,0,0,42
농업생명과학대학 자연계(스마트시스템과학과 제외한 전체),24,9,3,0,0,36
미술대학,13,9,3,0,11,36
"사범대학 교육학과, 불어교육과, 독어교육과, 사회교육과, 지리교육과, 윤리교육과, 체육교육과",13,9,3,2,9,36
"사범대학 국어교육과, 영어교육과",13,9,3,2,9,36
사범대학 역사교육과,13,9,3,1,10,36
사범대학 수학교육과 ,27,9,3,2,0,41
사범대학 물리교육과,26,9,3,1,0,39
사범대학 화학교육과,32,9,3,1,0,45
사범대학 생물교육과,32,9,3,1,0,45
사범대학 지구과학교육과,31,9,3,1,0,44
생활과학대학(소비자아동학부 소비자학전공),14,12,3,0,11,40
생활과학대학(소비자아동학부 아동가족학전공),13,12,3,0,8,36
생활과학대학(식품영양학과),28,9,3,0,0,40
생활과학대학(의류학과),19,9,3,0,7,40
수의과대학(수의예과),17,9,3,7,6,42
약학대학,24,9,3,0,0,36
음악대학,13,9,3,0,11,36
의과대학(의예과),24,9,3,0,5,41
첨단융합학부,30,12,9,0,0,51
치의학대학원 학사․전문석사 통합과정(학사과정),28,9,3,0,4,44
