대학,학문의 토대,지성의 열쇠,베리타스,지성의 확장,전체 교양 교과목,최소 학점
학부대학,14.5,9.0,3.0,0.0,9.5,36.0
인문대학,19.0,9.0,3.0,2.0,3.0,36.0
사회과학대학,13.0,9.0,3.0,0.0,11.0,36.0
경영대학,20.0,9.0,3.0,1.0,3.0,36.0
생활과학대학,18.5,10.5,3.0,0.0,6.5,39.0
자연과학대학,34.0,9.0,3.0,0.0,0.0,46.0
농업생명과학대학,22.3,9.0,3.0,0.0,3.7,38.0
공과대학,36.1,8.3,2.8,0.1,0.0,47.2
첨단융합학부,30.0,12.0,9.0,0.0,0.0,51.0
음악대학,13.0,9.0,3.0,0.0,11.0,36.0
미술대학,13.0,9.0,3.0,0.0,11.0,36.0
사범대학,23.4,9.0,3.0,1.4,3.5,40.3
간호대학,18.0,12.0,3.0,0.0,3.0,36.0
수의과대학(수의예과),17.0,9.0,3.0,7.0,6.0,42.0
약학대학,24.0,9.0,3.0,0.0,0.0,36.0
치의학대학원 학사과정,28.0,9.0,3.0,0.0,4.0,44.0
의과대학(의예과),24.0,9.0,3.0,0.0,5.0,41.0
